,id,code,khet,khet_en,province_id
0,1,1001,เขตพระนคร,Khet Phra Nakhon,1
1,2,1002,เขตดุสิต,Khet Dusit,1
2,3,1003,เขตหนองจอก,Khet Nong Chok,1
3,4,1004,เขตบางรัก,Khet Bang Rak,1
4,5,1005,เขตบางเขน,Khet Bang Khen,1
5,6,1006,เขตบางกะปิ,Khet Bang Kapi,1
6,7,1007,เขตปทุมวัน,Khet Pathum Wan,1
7,8,1008,เขตป้อมปราบศัตรูพ่าย,Khet Pom Prap Sattru Phai,1
8,9,1009,เขตพระโขนง,Khet Phra Khanong,1
9,10,1010,เขตมีนบุรี,Khet Min Buri,1
10,11,1011,เขตลาดกระบัง,Khet Lat Krabang,1
11,12,1012,เขตยานนาวา,Khet Yan Nawa,1
12,13,1013,เขตสัมพันธวงศ์,Khet Samphanthawong,1
13,14,1014,เขตพญาไท,Khet Phaya Thai,1
14,15,1015,เขตธนบุรี,Khet Thon Buri,1
15,16,1016,เขตบางกอกใหญ่,Khet Bangkok Yai,1
16,17,1017,เขตห้วยขวาง,Khet Huai Khwang,1
17,18,1018,เขตคลองสาน,Khet Khlong San,1
18,19,1019,เขตตลิ่งชัน,Khet Taling Chan,1
19,20,1020,เขตบางกอกน้อย,Khet Bangkok Noi,1
20,21,1021,เขตบางขุนเทียน,Khet Bang Khun Thian,1
21,22,1022,เขตภาษีเจริญ,Khet Phasi Charoen,1
22,23,1023,เขตหนองแขม,Khet Nong Khaem,1
23,24,1024,เขตราษฎร์บูรณะ,Khet Rat Burana,1
24,25,1025,เขตบางพลัด,Khet Bang Phlat,1
25,26,1026,เขตดินแดง,Khet Din Daeng,1
26,27,1027,เขตบึงกุ่ม,Khet Bueng Kum,1
27,28,1028,เขตสาทร,Khet Sathon,1
28,29,1029,เขตบางซื่อ,Khet Bang Sue,1
29,30,1030,เขตจตุจักร,Khet Chatuchak,1
30,31,1031,เขตบางคอแหลม,Khet Bang Kho Laem,1
31,32,1032,เขตประเวศ,Khet Prawet,1
32,33,1033,เขตคลองเตย,Khet Khlong Toei,1
33,34,1034,เขตสวนหลวง,Khet Suan Luang,1
34,35,1035,เขตจอมทอง,Khet Chom Thong,1
35,36,1036,เขตดอนเมือง,Khet Don Mueang,1
36,37,1037,เขตราชเทวี,Khet Ratchathewi,1
37,38,1038,เขตลาดพร้าว,Khet Lat Phrao,1
38,39,1039,เขตวัฒนา,Khet Watthana,1
39,40,1040,เขตบางแค,Khet Bang Khae,1
40,41,1041,เขตหลักสี่,Khet Lak Si,1
41,42,1042,เขตสายไหม,Khet Sai Mai,1
42,43,1043,เขตคันนายาว,Khet Khan Na Yao,1
43,44,1044,เขตสะพานสูง,Khet Saphan Sung,1
44,45,1045,เขตวังทองหลาง,Khet Wang Thonglang,1
45,46,1046,เขตคลองสามวา,Khet Khlong Sam Wa,1
46,47,1047,เขตบางนา,Khet Bang Na,1
47,48,1048,เขตทวีวัฒนา,Khet Thawi Watthana,1
48,49,1049,เขตทุ่งครุ,Khet Thung Khru,1
49,50,1050,เขตบางบอน,Khet Bang Bon,1
50,51,1081,*บ้านทะวาย,*Bantawai,1
51,52,1101,เมืองสมุทรปราการ,Mueang Samut Prakan,2
52,53,1102,บางบ่อ,Bang Bo,2
53,54,1103,บางพลี,Bang Phli,2
54,55,1104,พระประแดง,Phra Pradaeng,2
55,56,1105,พระสมุทรเจดีย์,Phra Samut Chedi,2
56,57,1106,บางเสาธง,Bang Sao Thong,2
57,58,1201,เมืองนนทบุรี,Mueang Nonthaburi,3
58,59,1202,บางกรวย,Bang Kruai,3
59,60,1203,บางใหญ่,Bang Yai,3
60,61,1204,บางบัวทอง,Bang Bua Thong,3
61,62,1205,ไทรน้อย,Sai Noi,3
62,63,1206,ปากเกร็ด,Pak Kret,3
63,64,1251,เทศบาลนครนนทบุรี (สาขาแขวงท่าทราย)*,Tetsaban Nonthaburi,3
64,65,1297,เทศบาลเมืองปากเกร็ด*,Tetsaban Pak Kret,3
65,66,1301,เมืองปทุมธานี,Mueang Pathum Thani,4
66,67,1302,คลองหลวง,Khlong Luang,4
67,68,1303,ธัญบุรี,Thanyaburi,4
68,69,1304,หนองเสือ,Nong Suea,4
69,70,1305,ลาดหลุมแก้ว,Lat Lum Kaeo,4
70,71,1306,ลำลูกกา,Lam Luk Ka,4
71,72,1307,สามโคก,Sam Khok,4
72,73,1351,ลำลูกกา (สาขาตำบลคูคต)*,Khlong Luang(Kukod),4
73,74,1401,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,5
74,75,1402,ท่าเรือ,Tha Ruea,5
75,76,1403,นครหลวง,Nakhon Luang,5
76,77,1404,บางไทร,Bang Sai,5
77,78,1405,บางบาล,Bang Ban,5
78,79,1406,บางปะอิน,Bang Pa-in,5
79,80,1407,บางปะหัน,Bang Pahan,5
80,81,1408,ผักไห่,Phak Hai,5
81,82,1409,ภาชี,Phachi,5
82,83,1410,ลาดบัวหลวง,Lat Bua Luang,5
83,84,1411,วังน้อย,Wang Noi,5
84,85,1412,เสนา,Sena,5
85,86,1413,บางซ้าย,Bang Sai,5
86,87,1414,อุทัย,Uthai,5
87,88,1415,มหาราช,Maha Rat,5
88,89,1416,บ้านแพรก,Ban Phraek,5
89,90,1501,เมืองอ่างทอง,Mueang Ang Thong,6
90,91,1502,ไชโย,Chaiyo,6
91,92,1503,ป่าโมก,Pa Mok,6
92,93,1504,โพธิ์ทอง,Pho Thong,6
93,94,1505,แสวงหา,Sawaeng Ha,6
94,95,1506,วิเศษชัยชาญ,Wiset Chai Chan,6
95,96,1507,สามโก้,Samko,6
96,97,1601,เมืองลพบุรี,Mueang Lop Buri,7
97,98,1602,พัฒนานิคม,Phatthana Nikhom,7
98,99,1603,โคกสำโรง,Khok Samrong,7
99,100,1604,ชัยบาดาล,Chai Badan,7
100,101,1605,ท่าวุ้ง,Tha Wung,7
101,102,1606,บ้านหมี่,Ban Mi,7
102,103,1607,ท่าหลวง,Tha Luang,7
103,104,1608,สระโบสถ์,Sa Bot,7
104,105,1609,โคกเจริญ,Khok Charoen,7
105,106,1610,ลำสนธิ,Lam Sonthi,7
106,107,1611,หนองม่วง,Nong Muang,7
107,108,1681,*อ.บ้านเช่า  จ.ลพบุรี,*Amphoe Ban Chao,7
108,109,1701,เมืองสิงห์บุรี,Mueang Sing Buri,8
109,110,1702,บางระจัน,Bang Rachan,8
110,111,1703,ค่ายบางระจัน,Khai Bang Rachan,8
111,112,1704,พรหมบุรี,Phrom Buri,8
112,113,1705,ท่าช้าง,Tha Chang,8
113,114,1706,อินทร์บุรี,In Buri,8
114,115,1801,เมืองชัยนาท,Mueang Chai Nat,9
115,116,1802,มโนรมย์,Manorom,9
116,117,1803,วัดสิงห์,Wat Sing,9
117,118,1804,สรรพยา,Sapphaya,9
118,119,1805,สรรคบุรี,Sankhaburi,9
119,120,1806,หันคา,Hankha,9
120,121,1807,หนองมะโมง,Nong Mamong,9
121,122,1808,เนินขาม,Noen Kham,9
122,123,1901,เมืองสระบุรี,Mueang Saraburi,10
123,124,1902,แก่งคอย,Kaeng Khoi,10
124,125,1903,หนองแค,Nong Khae,10
125,126,1904,วิหารแดง,Wihan Daeng,10
126,127,1905,หนองแซง,Nong Saeng,10
127,128,1906,บ้านหมอ,Ban Mo,10
128,129,1907,ดอนพุด,Don Phut,10
129,130,1908,หนองโดน,Nong Don,10
130,131,1909,พระพุทธบาท,Phra Phutthabat,10
131,132,1910,เสาไห้,Sao Hai,10
132,133,1911,มวกเหล็ก,Muak Lek,10
133,134,1912,วังม่วง,Wang Muang,10
134,135,1913,เฉลิมพระเกียรติ,Chaloem Phra Kiat,10
135,136,2001,เมืองชลบุรี,Mueang Chon Buri,11
136,137,2002,บ้านบึง,Ban Bueng,11
137,138,2003,หนองใหญ่,Nong Yai,11
138,139,2004,บางละมุง,Bang Lamung,11
139,140,2005,พานทอง,Phan Thong,11
140,141,2006,พนัสนิคม,Phanat Nikhom,11
141,142,2007,ศรีราชา,Si Racha,11
142,143,2008,เกาะสีชัง,Ko Sichang,11
143,144,2009,สัตหีบ,Sattahip,11
144,145,2010,บ่อทอง,Bo Thong,11
145,146,2011,เกาะจันทร์,Ko Chan,11
146,147,2051,สัตหีบ (สาขาตำบลบางเสร่)*,Sattahip(Bang Sre)*,11
147,148,2072,ท้องถิ่นเทศบาลเมืองหนองปรือ*,Tong Tin Tetsaban Mueang Nong Prue*,11
148,149,2093,เทศบาลตำบลแหลมฉบัง*,Tetsaban Tambon Lamsabang*,11
149,150,2099,เทศบาลเมืองชลบุรี*,Mueang Chon Buri,11
150,151,2101,เมืองระยอง,Mueang Rayong,12
151,152,2102,บ้านฉาง,Ban Chang,12
152,153,2103,แกลง,Klaeng,12
153,154,2104,วังจันทร์,Wang Chan,12
154,155,2105,บ้านค่าย,Ban Khai,12
155,156,2106,ปลวกแดง,Pluak Daeng,12
156,157,2107,เขาชะเมา,Khao Chamao,12
157,158,2108,นิคมพัฒนา,Nikhom Phatthana,12
158,159,2151,สาขาตำบลมาบข่า*,Saka Tambon Mabka,12
159,160,2201,เมืองจันทบุรี,Mueang Chanthaburi,13
160,161,2202,ขลุง,Khlung,13
161,162,2203,ท่าใหม่,Tha Mai,13
162,163,2204,โป่งน้ำร้อน,Pong Nam Ron,13
163,164,2205,มะขาม,Makham,13
164,165,2206,แหลมสิงห์,Laem Sing,13
165,166,2207,สอยดาว,Soi Dao,13
166,167,2208,แก่งหางแมว,Kaeng Hang Maeo,13
167,168,2209,นายายอาม,Na Yai Am,13
168,169,2210,เขาคิชฌกูฏ,Khoa Khitchakut,13
169,170,2281,*กิ่ง อ.กำพุธ  จ.จันทบุรี,*King Amphoe Kampud,13
170,171,2301,เมืองตราด,Mueang Trat,14
171,172,2302,คลองใหญ่,Khlong Yai,14
172,173,2303,เขาสมิง,Khao Saming,14
173,174,2304,บ่อไร่,Bo Rai,14
174,175,2305,แหลมงอบ,Laem Ngop,14
175,176,2306,เกาะกูด,Ko Kut,14
176,177,2307,เกาะช้าง,Ko Chang,14
