,id,zip_code,name_th,name_en,amphure_id
0,100101,10200,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,1
1,100102,10200,วังบูรพาภิรมย์,Wang Burapha Phirom,1
2,100103,10200,วัดราชบพิธ,Wat Ratchabophit,1
3,100104,10200,สำราญราษฎร์,Samran Rat,1
4,100105,10200,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,1
5,100106,10200,เสาชิงช้า,Sao Chingcha,1
6,100107,10200,บวรนิเวศ,Bowon Niwet,1
7,100108,10200,ตลาดยอด,Talat Yot,1
8,100109,10200,ชนะสงคราม,Chana Songkhram,1
9,100110,10200,บ้านพานถม,Ban Phan Thom,1
10,100111,10200,บางขุนพรหม,Bang Khun Phrom,1
11,100112,10200,วัดสามพระยา,Wat Sam Phraya,1
12,100201,10300,ดุสิต,Dusit,2
13,100202,10300,วชิรพยาบาล,Wachiraphayaban,2
14,100203,10300,สวนจิตรลดา,Suan Chit Lada,2
15,100204,10300,สี่แยกมหานาค,Si Yaek Maha Nak,2
16,100205,0,*บางซื่อ,*Bang Sue,2
17,100206,10300,ถนนนครไชยศรี,Thanon Nakhon Chai Si,2
18,100299,0,*สามเสนใน,*Sam Sen Nai,2
19,100301,10530,กระทุ่มราย,Krathum Rai,3
20,100302,10530,หนองจอก,Nong Chok,3
21,100303,10530,คลองสิบ,Khlong Sip,3
22,100304,10530,คลองสิบสอง,Khlong Sip Song,3
23,100305,10530,โคกแฝด,Khok Faet,3
24,100306,10530,คู้ฝั่งเหนือ,Khu Fang Nuea,3
25,100307,10530,ลำผักชี,Lam Phak Chi,3
26,100308,10530,ลำต้อยติ่ง,Lam Toiting,3
27,100401,10500,มหาพฤฒาราม,Maha Phruettharam,4
28,100402,10500,สีลม,Si Lom,4
29,100403,10500,สุริยวงศ์,Suriyawong,4
30,100404,10500,บางรัก,Bang Rak,4
31,100405,10500,สี่พระยา,Si Phraya,4
32,100501,0,*ลาดยาว,*Lad Yao,5
33,100502,10220,อนุสาวรีย์,Anusawari,5
34,100503,0,คลองถนน*,Khlong Thanon*,5
35,100504,0,*ตลาดบางเขน,*Talad Bang Khen,5
36,100505,0,*สีกัน,*See Kan,5
37,100506,0,สายไหม*,Sai Mai*,5
38,100507,0,*ทุ่งสองห้อง,*Thung Song Hong,5
39,100508,10220,ท่าแร้ง,Tha Raeng,5
40,100509,0,ออเงิน*,Or Ngern*,5
41,100599,0,*บางเขน,*Bang Khen,5
42,100601,10240,คลองจั่น,Khlong Chan,6
43,100602,0,วังทองหลาง*,Wang Thong Lang*,6
44,100603,0,*ลาดพร้าว,*Lad Prao,6
45,100604,0,*คลองกุ่ม,*Klong Khum,6
46,100605,0,*สะพานสูง,*Saphan Sung,6
47,100606,0,*คันนายาว,*Khan Na Yao,6
48,100607,0,*จรเข้บัว,*Chorakhe Bua,6
49,100608,10240,หัวหมาก,Hua Mak,6
50,100701,10330,รองเมือง,Rong Mueang,7
51,100702,10330,วังใหม่,Wang Mai,7
52,100703,10330,ปทุมวัน,Pathum Wan,7
53,100704,10330,ลุมพินี,Lumphini,7
54,100801,10100,ป้อมปราบ,Pom Prap,8
55,100802,10100,วัดเทพศิรินทร์,Wat Thep Sirin,8
56,100803,10100,คลองมหานาค,Khlong Maha Nak,8
57,100804,10100,บ้านบาตร,Ban Bat,8
58,100805,10100,วัดโสมนัส,Wat Sommanat,8
59,100899,0,*นางเลิ้ง,*Nang Lerng,8
60,100901,0,*คลองเตย,*Khlong Toei,9
61,100902,0,*คลองตัน,*Khlong Ton,9
62,100903,0,*พระโขนง,*Phra Kha Nong,9
63,100904,0,บางนา*,Ban Na*,9
64,100905,10260,บางจาก,Bang Chak,9
65,100906,0,*สวนหลวง,*Suan Luang,9
66,100907,0,*หนองบอน,*Nong Bon,9
67,100908,0,*ประเวศ,*Prawet,9
68,100909,0,*ดอกไม้,*Dok Mai,9
69,100997,0,*พระโขนง,*Phra Kha Nong,9
70,100998,0,*คลองตัน,*Khlong Ton,9
71,100999,0,*คลองเตย,*Khlong Toei,9
72,101001,10510,มีนบุรี,Min Buri,10
73,101002,10510,แสนแสบ,Saen Saep,10
74,101003,0,บางชัน*,Bang Chan*,10
75,101004,0,ทรายกองดิน*,Sai Kong Din*,10
76,101005,0,ทรายกองดินใต้*,Sai Kong Din Tai*,10
77,101006,0,สามวาตะวันออก*,Sam Wa Ta Wan Ook*,10
78,101007,0,สามวาตะวันตก*,Sam Wa Ta Wan Tok*,10
79,101101,10520,ลาดกระบัง,Lat Krabang,11
80,101102,10520,คลองสองต้นนุ่น,Khlong Song Ton Nun,11
81,101103,10520,คลองสามประเวศ,Khlong Sam Prawet,11
82,101104,10520,ลำปลาทิว,Lam Pla Thio,11
83,101105,10520,ทับยาว,Thap Yao,11
84,101106,10520,ขุมทอง,Khum Thong,11
85,101201,0,*ทุ่งวัดดอน,*Thung Wat Don,12
86,101202,0,*ยานนาวา,*Yan Nawa,12
87,101203,10120,ช่องนนทรี,Chong Nonsi,12
88,101204,10120,บางโพงพาง,Bang Phongphang,12
89,101205,0,*วัดพระยาไกร,*Pra Ya Krai,12
90,101206,0,*บางโคล่,*Bang Khlo,12
91,101207,0,*บางคอแหลม,*Bang Kho Laem,12
